[2025-02-16 23:55:51,088: INFO: extract_mongodb: line 61: MongoDB Data Validated Successfully]
[2025-02-16 23:55:51,088: INFO: extract_postgresql: line 23: Creating connection to RDS Postgresql Database]
[2025-02-16 23:55:52,484: INFO: extract_postgresql: line 32: Connection established]
[2025-02-16 23:55:52,484: INFO: extract_postgresql: line 47: Loading postgres data]
[2025-02-16 23:55:54,837: INFO: extract_postgresql: line 49: Loaded 10639 records from the database]
[2025-02-16 23:55:54,839: INFO: extract_postgresql: line 52: PostgreSQL connection closed.]
[2025-02-16 23:55:54,847: INFO: extract_postgresql: line 70: Postgres Data Validated Successfully]
[2025-02-16 23:55:54,847: INFO: transform: line 17: Defining final columns]
[2025-02-16 23:55:54,857: INFO: transform: line 21: Merging mongodb and postgres data on the defined final columns]
[2025-02-16 23:55:54,886: INFO: transform: line 24: Final data is ready now with shape (28492, 15)]
[2025-02-16 23:55:55,378: INFO: transform: line 40: Processed final data saved to  Processed_Data/combined_data.csv]
[2025-02-17 00:00:54,492: INFO: transform: line 13: Loading validated mongodb and validated postgres data]
[2025-02-17 00:00:54,492: INFO: extract_mongodb: line 22: Connecting MongoDB server]
[2025-02-17 00:00:55,155: INFO: extract_mongodb: line 27: MongoDB server connected]
[2025-02-17 00:00:55,158: INFO: extract_mongodb: line 38: Loading data from mongodb]
[2025-02-17 00:00:55,161: INFO: extract_mongodb: line 41: Converting fetched data to Dataframe]
[2025-02-17 00:01:01,806: INFO: extract_mongodb: line 44: Loaded 17853 records from mongodb database and converted into pandas DataFrame]
[2025-02-17 00:01:01,815: INFO: extract_mongodb: line 61: MongoDB Data Validated Successfully]
[2025-02-17 00:01:01,815: INFO: extract_postgresql: line 23: Creating connection to RDS Postgresql Database]
[2025-02-17 00:01:04,286: INFO: extract_postgresql: line 32: Connection established]
[2025-02-17 00:01:04,287: INFO: extract_postgresql: line 47: Loading postgres data]
[2025-02-17 00:01:06,507: INFO: extract_postgresql: line 49: Loaded 10639 records from the database]
[2025-02-17 00:01:06,511: INFO: extract_postgresql: line 52: PostgreSQL connection closed.]
[2025-02-17 00:01:06,532: INFO: extract_postgresql: line 70: Postgres Data Validated Successfully]
[2025-02-17 00:01:06,532: INFO: transform: line 17: Defining final columns]
[2025-02-17 00:01:06,548: INFO: transform: line 21: Merging mongodb and postgres data on the defined final columns]
[2025-02-17 00:01:06,581: INFO: transform: line 24: Final data is ready now with shape (28492, 15)]
[2025-02-17 00:01:07,107: INFO: transform: line 40: Processed final data saved to  Processed_Data/combined_data.csv]
[2025-02-17 00:08:19,958: INFO: extract_mongodb: line 22: Connecting MongoDB server]
[2025-02-17 00:08:20,510: INFO: extract_mongodb: line 27: MongoDB server connected]
[2025-02-17 00:08:20,511: INFO: extract_mongodb: line 38: Loading data from mongodb]
[2025-02-17 00:08:20,511: INFO: extract_mongodb: line 41: Converting fetched data to Dataframe]
[2025-02-17 00:08:24,266: INFO: extract_mongodb: line 44: Loaded 17853 records from mongodb database and converted into pandas DataFrame]
[2025-02-17 00:08:24,283: INFO: extract_mongodb: line 61: MongoDB Data Validated Successfully]
[2025-02-17 00:09:08,412: INFO: extract_postgresql: line 23: Creating connection to RDS Postgresql Database]
[2025-02-17 00:09:09,745: INFO: extract_postgresql: line 32: Connection established]
[2025-02-17 00:09:09,745: INFO: extract_postgresql: line 47: Loading postgres data]
[2025-02-17 00:09:14,994: INFO: extract_postgresql: line 49: Loaded 10639 records from the database]
[2025-02-17 00:09:14,999: INFO: extract_postgresql: line 52: PostgreSQL connection closed.]
[2025-02-17 00:09:15,006: INFO: extract_postgresql: line 70: Postgres Data Validated Successfully]
[2025-02-17 00:11:55,905: INFO: transform: line 13: Loading validated mongodb and validated postgres data]
[2025-02-17 00:11:55,905: INFO: extract_mongodb: line 22: Connecting MongoDB server]
